,AAA,ACAd,ACAv,ACB,AD,AHN,AId,AIp,AIv,AMB,AMd,AMv,AN,AOB,AON,APN,ARH,AUDd,AUDp,AUDv,AV,BLA,BMA,BST,CA1,CA2,CA3,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,CP,CS,CUL,CUN,DCO,DG,DMH,DN,DP,DR,ECT,ENTl,ENTm,EPd,EPv,FL,FN,FRP,FS,GPe,GPi,GRN,GU,IA,ICc,ICd,ICe,ILA,IMD,IO,IP,IPN,IRN,LA,LAV,LD,LGd,LGv,LH,LHA,LP,LPO,LRN,LSc,LSr,LSv,MA,MARN,MD,MDRNd,MDRNv,MEA,MEPO,MGd,MGm,MGv,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MV,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NTS,ORBl,ORBm,ORBvl,OT,PA,PAA,PAG,PAR,PARN,PB,PCG,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIR,PL,PMd,PO,POL,POST,PP,PPN,PRE,PRM,PRNc,PRNr,PRP,PSV,PT,PTLp,PVH,PVT,PVp,PVpo,PYR,RCH,RE,RH,RM,RN,RR,RSPagl,RSPd,RSPv,RT,SBPV,SCm,SCs,SF,SI,SIM,SMT,SNc,SNr,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSs,STN,SUBd,SUBv,SUM,SUT,SUV,TEa,TR,TRN,TRS,TT,TU,V,VAL,VCO,VII,VISC,VISal,VISam,VISl,VISp,VISpl,VISpm,VM,VMH,VPL,VPM,VPMpc,VTA,XII
AAA,0,0,0,0,0,0,0,0.094304893,0,0,0,0.002712153,0,0.019349291,0.551052329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181895,0,0,0.000973664,0.002183136,0,0,0,0,0,0,0,0,0,0,0.009458123,0.005043835,0,0,0,0.386723477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014861954,0,0,0,0,0,0,0,0.00023266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003820597,0,0,0,0,0,0,0.753085633,0,0,0,0,0,0.210867172,0,0,0,0.001614559,0,0,0,0,0,0,0.000905722,0,0,0,0,0,0.07267081,0,0,0.005949347,0.002035342,0.059928899,0,0,0,0,0,0,1.250412651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021555733,0,0.002488965,0,0.01120075,0.001221962,0,0,0,0,0,0,0,0,0,0,0.008226166,0,0,0,0.008270906,0.001936312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002721466,0,0,0,0,0,0,0,0,0,0,3.70161E-06,0,0,0,0,0,0,8.5229E-05,0,0,0,0,0,0,0.113435866,0
ACAd,0.000532419,1.550081574,0.949079308,0.15229135,0.009529556,0,0.023817432,0.015709676,0.043939227,0,0.260808821,0.056587735,0,0.006658977,0.040622548,0.34270496,0,0.06394075,0.019391096,0,0.137228607,0.001839786,0,0.013317062,0.00283493,0.000222957,0.004934948,0,0,0.16495237,0.034151947,0,0,0.000492574,0,4.180660872,0.12378176,0.000607611,0,0.000225766,0.010617322,0.007246754,3.06738E-05,0.024523478,0,0.113730319,0.077959988,0.010142655,0.009818183,0,5.90829E-05,0.000102191,0.010011221,0,0,0,0,0,0,7.44544E-05,0.000671186,0.017329457,0.286462247,0,0,0,0.010861478,0,0.001227077,0,0.450447791,0.00481963,0.027066134,0.051782316,0.075085996,0.21303069,0.01995164,0,0.004023962,0.064019122,0,0.003314744,0.000449348,0.062046004,0,0,0.000355487,0,0.005993303,0.013830458,0.021461049,0.000305637,0,0.007149098,0,1.530875047,0,0,0.035029328,0.586631254,0,0.003369413,0.022338552,0.02846922,0.00085763,0.000758215,8.58331E-05,0.025665866,0.143641902,0,0.150646067,0.149315867,0.464297269,0.015332453,0.000711195,0.000497784,0.57400583,0.011871454,0,0,0.051587623,0.026712295,0.005001868,0,0.099898888,0,0,0.129558734,0.035955356,0.469408842,0,0.16178502,0.023676923,0.049346689,0.008674514,0.017381708,0.027097069,0,0.019729045,0.295503052,0.001523288,0,0,1.101433194,0.001053756,0,0,0,0,0,0.072706398,0.032606399,0.000452139,0.011250538,0,0.113965957,0.962966539,0.71805377,0.312317202,0.000659979,1.885491315,0.15452415,0.000270255,0,0,0.025496013,0,0.078696372,0,0,0.017850197,0.081323069,0,0,9.87107E-05,0,0.023304989,0.022484382,0,0,0.208914033,0,0,0.027977903,0.004827406,0,0.017572721,0,0,0.06203134,0,0.061842754,0.000289806,0.051530899,0.001972098,0,0.10910622,0.000136052,0,0,0.371591781,0.668050193,0.084819809,0.700777029,0.028479463,0.031157211,0.091220714,0,0.038712171,0.043113027,0,0.097992052,0
ACAv,0,0,0.315884558,0,0.007936141,0.018708142,0,0,0,0,0,0.004179138,0.000285853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597487,0,0.033712455,0.000831724,0.005567203,0,0,0.665045281,0.025797426,0,0.005392517,0,0.004338627,0,0,0,0.000635801,0,0,0,0,0,0,0,0,0,0.009477827,0.005858934,0,0,0,0,0,0,0.121652051,0.004582873,0,0,0.011225002,0,0,0,0,0.000584821,0.017988681,0.016285571,0.119619572,0,0,0,0,0,0,0,0,0.110058608,0,0,0,0,0,0,0,0,0.007733897,0.004981742,0.158504705,0,0,0,0.016812184,0,0,0,0,0.002773014,0.002869795,0,0,0,0,0,0,0.099931869,0,0,0,0,0.280771455,0,0,0,0.048266138,0,0.049617529,0.001160881,0,0,0,0.049116515,0,0.154370868,0.006069485,0,0,0,0,0.013638634,0,0.000222807,0.001305213,0.035037575,0,0,0.003459341,0,0,0.005615109,0,0,0,0.001327014,0.054371227,0,0,0,0.022968815,0.164948185,0,0,0,0,0,0,0,0.011913162,0.000106256,0,0.01221864,0.027645811,0,0.004385302,0.004580252,0,0,0.000892359,0,0,0,0,0,0,0,0,0,0,0,0,0.016676939,0,0,0,0,0,0,0,0.001878331,0,0,0.000250965,0,0,0,0,0,0,0,0,0.054074359,0,0,0,0.000375847,0.023704205,0
ACB,0.021439367,0,0,0.074182913,0,0.022876244,0,0,0.009048853,0,0.00089535,0.000546349,0.001364877,0,0.353843613,0,0.003401337,0,0,0,0,0.009288887,0.015343855,0.133083823,0,0,0,0.013510806,0.001203524,0.000939403,0,0.00145037,4.44639E-05,0.002755231,0,0.00870458,0,0.00088288,0,0.000155906,0,0.010786825,0,0.01719965,0.00022022,0,0,0,0.010101481,0.001972121,0.00010386,0,0,0.006775239,0,0,0,0,8.28937E-05,5.84003E-05,0.000191482,0.000454837,0.011187649,0,0,0,0,0,0,0,0,0,0,0,0.233290485,0,0.138681815,0,0,0.039356353,0.010120134,0.016677956,0,0,0,0,0,0,9.78859E-06,0,0.000108282,0,0,0,0.002927303,0.003885731,0.015632744,0.057740475,0,0.004808079,0,0,0,0,0,0,6.18579E-05,0,0,0,0,0.016581259,0,0.027101186,0.003153195,0.007313048,0,0,0,0,0,0,0.001379727,0.002301571,0,0,0,0,0.167933731,0.00137311,0,0.005139813,0,0,0,0,0,0.000935175,0,0,0,0,0.007786423,0,0.006784508,0.005226347,0.000684432,0.001682569,0,0,0.00830862,0.000704022,0,5.7011E-05,0.034401294,0,0,0,0,0.001635494,0,0.000564363,0,0.471651366,0.000205595,0,0.089461677,0.01194442,0,0,0,0,8.4219E-05,0.000494293,0,0,0,0,0,0,0,0,0,0.000585771,0,0.015023577,0,0,0,0,0.014241857,0,0,0.07190916,0,0,0.008642693,0.000519594,0,0,0,0,0,0,0,0,0,0.005774095,0.000612092,0.003241202,0,0.042547745,0
AD,0,0,1.640533536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108387025,0,0,0,0.016732505,0.000867471,0,0,0.000564547,0,0,0,0.078075607,0,0,0,0.000295108,0,0,0,0,0,0.10496154,0.337491671,0.371686291,0,0,0,0,0,0,0,0,0,0,0,2.48873E-05,0.000637471,0.001447063,0.128178354,0,0,0,0,0,0.008694878,0,0,0,0,0,0,0,0,0,0,0,0.001193516,0,0,0,0,0,0,0,0,0,0,0,0.057974713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165216,0,0,0,0,0,0,0,0,0,0.017359553,1.241301272,0,0,0,0.045343398,0,0,0,0,0,0.009862162,0,0,0.000735704,0,0,0.32652024,0,0,3.844910271,0,0,0,0,0,0,0,0.000245839,0,0,0,0,0,0.003874797,0,0,0,0,0,0,9.839128547,0.116382692,0,0,0.142172184,0,0,0,0,0,0,0,0,0,0,0.000868091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021457948,0,0,0,0.024683906,0,0,0,0.000368903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007033752,0
AHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037463733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043364515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001587362,0,0,0,0,0,0,0.009579101,0.257473316,0,0.133796876,0,0,0.171419696,0.014824296,0,0,0.004431176,0,0,0.07641865,0.029213916,0,0,0,0.003756779,0.028091081,0,0,0,0,0.011495199,0,0,0.092307537,0,0.060211642,0,0,0,0,0,0,0,0,0,0,0,0.006872214,0,0,0,0,0,0,0,0,0,0,0,0,0.095510542,0,0,0.04228805,0,0,0,0,0,0,0,0,0,0,0,0.005546979,0,0,0.008631904,0.004858255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006159333,0,0,0,0,0,0,0,0.001281654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022874563,0,0,0,0,0,0.004444162,0,0.107612585,0,0,0,0,0,0,0,0,0,0,0,0,0.158856229,0,0,0,0.008330944,0
AId,0.087368571,0,0,0,0,0,0.311219424,0.330566552,0,0,0,0,0,0,0,0,0,0,0,0.000728917,0,0.068290204,0.020899742,0,0,0,0,0.116270828,0,0,0.133106657,0.001833977,0.005956581,0.021408843,0,2.97638939,0,0,0,0,0,0,0,0,0.002695283,0,0,0,0,0.026027673,0.000136084,0,0.109226089,0.053688229,0.216269954,0,0,0.324225002,0.013564982,0,0,0,0,0.020418997,0,0,0,0,0,0,0,0,0,0.000965001,0,0,0.010970785,0,0.009105089,0,0,0.014158889,0,0.068374136,0,0,0.023363141,0,0,0,0,4.27464E-05,0,0,0.351459138,0,0,0,0,0,0.000215921,0,0.013293913,0,0,0.020268924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151298459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117985737,0.000227798,0,0.011987345,0,0,0.01657473,0.006835709,0.002550398,0,0,0,0,0,0,0.007584268,0.013075881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000585988,0,6.73992E-05,0,0.196026649,0,0,0,0,0,0,0,0,0,0,0.016708012,0,0
AIp,0.016368727,0.031322631,0.047648463,0.486595031,0,0,0.630972509,0,0.117891761,0.000765992,0,0.000608828,0,0,0,0,0,0,0,0,5.15245E-05,0.230393967,0.116879001,0.131959516,0,0,0,0.748408849,0,0,0.030763284,0.001036189,0.022814886,0.017271889,0,1.548397199,0.001742148,0,0,0,0,0.011051149,0,0.01538237,0.000931546,0,0.143234495,0.03614249,0.023894083,0.070105681,0,0,0.038541067,0.133747503,0.246468922,0,0,0.318006568,0.03548452,0,0,0,0.032942106,0.017132204,0,5.36721E-06,0,0.006255417,0,0.000470412,0,0,0,0,0.161650376,0,0.00976137,0.001317881,0,0,0,0,0,0.050607701,0.000658906,0.002940798,0.014965736,8.79291E-06,0,0.002110377,0,0,3.91722E-05,0,0.299218592,0.253374015,0,0,0,0.227843521,0,0.003888063,0,0.000186071,0,0,0,0,0.00112547,0.023223371,0.097267529,0.042743006,0.068771718,0,0,0,0.064006936,0.023175886,0,0.06667102,0.007985108,0.098458215,0.018592301,0,0.01960974,0,0.004548205,0.014026324,0,0.065990552,0.00028498,0.040298674,0.004922637,0,0,0.003281006,0.013740213,0,0.020914154,0.025209671,0.000102637,0,0.002274105,0,0,0.011041921,0,0,0,0.002366347,0.022712639,0.00958413,0,0.005301301,0.014156325,0.001753969,0.027088172,0.048763023,0.007919699,0,0,0,0,0.239299167,0,0.011982683,0,0.035284036,0.002397605,0.020717553,0.01162927,0.026583258,0.001237347,0,0,0,0,0.01119022,0,0.065003488,0,0.029617822,0.097372807,0.012949394,0,0,0.00286893,0.013977956,0.00289406,0,0.114133995,0.000190093,0,0,0.005668219,0.007697082,0,0,0.002847939,0,0,0,0,0,0,0,0.022130257,0,0,0,0.004319707,0.024318756,0.001119039
AIv,0,0.39945556,0.040713792,4.9430511,0,0,1.047709103,0,1.771688614,0,0,0.006279998,0.002024187,0.076368488,0.67681967,0,0.000930068,0.033078596,0.019791867,0.059426976,0,0.143442723,0,0.094352402,0.008264585,0,0.001029853,0,0.001401065,0,0.361411429,0,0,0,0,2.032648731,0,0.002883615,0,0.000468809,0.011221067,0.003917637,0,0.088664415,0,0.55524277,0,0,1.03757969,0,0.00044879,0,0.369074558,0.114600182,0,0,0,0,0,0.000717833,0.00115324,0.000498453,0.569334769,0,0,1.38685E-05,0,0,0.091197466,0,0,0,0,0.021375767,0.780905108,0,0.099759959,0,0,0.182577498,0,0.110828306,0,0,0,0,0,0,0.001047352,0.00284608,0.005298485,0,0.00178379,0,0,2.091084505,0,0,6.74142E-05,0,0,0,0.108601636,0.000984883,0.001167754,0,0.000356568,0,0.006200031,0,1.895405071,0.886401593,1.82875311,1.40253418,0,0,0.177094586,0,0,0,0.0172383,0,0,0.00127304,0,0,0,0.04884934,2.429130749,0.941323645,0.001259265,0,0.006844848,0,0.000250466,0,0,6.01651E-05,0,0,0,0,0.003775878,0,0,0.06746475,0.000507276,0.000222626,0,0,0.106657209,0.004979377,0,0,0,0,0,0,0,0,0,0.005236276,7.66789E-05,1.393561467,0,0.03444181,0,0,0,0.001945258,0,0,0,0,0,0,0,0,0,0,0.024843667,0,0,0,0.000558233,0,0.015445308,0,0,0.486744959,0,0,0,0.274720583,0.018205903,0,0,0,0,0,0.000312643,0,0,0,0,0,0,0.00023558,0,0,0,0.068630124,0
AMB,0.003629951,2.38985E-05,0,0,0,0.02087241,0,0,4.06269E-05,0,0,0.000143116,0,0,0.003109303,0,0.002956268,0,0,0,7.15925E-05,0.000321877,0.000944687,0.034229777,0,0,0,0,0,0,0,4.94172E-05,0,0,0,0,0,0,0.001183132,0,0,0.028626217,0,0,0,0,0,0,0,0.000180548,0.065415103,0,0,0,0.003742495,0,0.812647963,0,0.000288311,0,0,0,0,0.004480762,0,0,0,0.845123785,0,0,0,0.000119126,0.00120716,0,0.107116265,0,0.031566407,0,0,0.007445705,0.00188895,0,0.109186395,0,0,0,0.002661767,0.005200733,0,0.001085545,0.000527036,0,0,0,0,0,0.000759251,0.013153616,0.000579821,0,0,0,0,0,0.013740238,0.000165836,0.011805447,0,0,0.158375839,0.000146968,0,3.09673E-05,0.012326581,0.000237543,0,0,0,0.47439207,0.253596231,0,0,0,0.010742551,0,0.070934116,0,0.021298774,0.003570486,0.000370362,0,0,0,0,0.001403858,0,0,0,0.232081879,0,0.031202111,0,0,0,0.009286504,0,0,0.001790922,0,0.021209843,0,0.000331852,0,0,0,0,0,0,0,0.003217099,0,0,0,0.041005678,0,0,0,0,0.002089738,0.001643102,0.002064453,0,0,0,0,0.071321767,0,0,0,0,0,0,0,0.001034347,0,0,0.001363484,0,0.007296518,0,0,0,0,0.003769917,0.024372678,0,0,0,1.1428185,0,0,0,0,0,0,0,0,0.007195535,0,0,0,0,0
AMd,0,1.337923686,2.39781915,1.965221296,0,0,0,0,0.010959974,0,0,0,0.000862214,0.011266011,0.031636332,0,0,0,0,0,0.021614316,0.1682122,0,0,0,0,0,0.010342527,1.54195E-05,0,0.006504013,0,0,0,0,5.473812468,0,0.000604712,0,9.42453E-05,0,0,0,0.051613757,0,0,0,0,0,0,0.000311615,5.04717E-06,0.0447374,0,0,0.002064208,0,0,0,0,8.70777E-06,0,0.558419272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014770844,0.18441322,0,0.666074805,0,0,0,0,0,0,0,0,0,0,0.000319866,0,0,0,0.001844313,0.335485852,0.239579658,0.133192425,0,0,0,0,0,0,0,0,0,0.000409038,0,0,0,0,0,1.037982648,0,0,0,0,0,0,0,0.000488532,0,0,0,0,0,0.006933108,0,0.001939719,0,0,0,0,0,0,0,0,0,0.049187666,0,0,0.026587943,0,0,0,0,0.223059356,0.000228259,0,0,0,0,0,0,0,0.000170445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012084783,0,0,0,0.000282396,0,0,0,0.052079271,0.003214518,0,0,0,0,0,0,0,0,0,0
AMv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192547041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236829912,0,0,0,0,0,0,0,0,0,0,0,0.013652694,0,0,0,0,0,0,4.311579067,0,0,6.59047E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015889906,0,0,0,0,0,0,0,0,0,0,0.019105945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868222884,0,0,0,0,0,0,0,0,0,0,0,0.00231081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62026933,0,0,0,0,0,0,0,0,0,0,0,0.285356897,0.563519828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17213695,0,0,0,0,0,0,0,0,0.619273963,0,0,0,0,0,0,0.149730083,0.506392775,0.119780439,0.817615477,0.134371866,0.265721759,0,0,0,0,0,0,0
AN,7.90378E-05,6.42847E-05,0.000104206,1.83022E-06,1.96457E-06,9.87291E-07,0.000103021,8.86103E-05,0.00016916,1.10663E-06,5.31102E-06,1.222E-07,0.034493925,6.59602E-06,0.000173921,0,4.76889E-05,3.64282E-05,2.16226E-05,8.2273E-05,1.16883E-06,1.49589E-07,0,1.87295E-06,7.37669E-05,6.1234E-06,2.59682E-05,1.00139E-06,0.000159643,0,0,5.79915E-05,2.57322E-06,0.000106144,0.000134424,8.72567E-05,0,0.000951195,8.55904E-05,7.72384E-05,0.00135196,7.22587E-07,0.020624761,6.3432E-07,1.87009E-06,0.000173017,0.000397751,0.000233284,1.5872E-06,3.7148E-06,0.000374876,0,1.61157E-06,1.75828E-05,0,0,3.88238E-05,0.000187952,5.95465E-06,1.69157E-05,9.3792E-05,0.000170894,0.000106106,0,4.91282E-05,0.023301654,0.000352891,0.000151559,1.40881E-07,3.79678E-05,2.43799E-06,1.52065E-07,3.53849E-06,0,6.90215E-05,1.19073E-05,5.6039E-05,4.35561E-05,2.88936E-06,0.000155875,3.27372E-07,7.15593E-06,6.87835E-07,4.84113E-06,5.49021E-06,2.95049E-07,8.00982E-05,2.84664E-07,1.42803E-05,0,9.83978E-05,5.31267E-06,2.76888E-05,0.00084855,0.000364181,0.00047561,7.14222E-10,3.30467E-06,9.41605E-06,0.002887196,0,5.16935E-05,0.000132271,0,4.49311E-05,4.00739E-05,5.63247E-05,3.53202E-07,0,1.0397E-05,7.75187E-07,4.13519E-07,1.90031E-06,0.000827802,2.09901E-06,0.000123339,0.000102489,6.81027E-05,0.000482457,0.000998386,2.01191E-05,9.56642E-05,0,0.001586873,0.003349012,0,1.63688E-05,5.72395E-07,0.001182074,0.00010583,0,0,0,0.000318331,4.18316E-06,0.000311022,0.000430697,0.001977492,4.21505E-05,5.12692E-05,8.5072E-05,0.000747373,9.46305E-08,4.14765E-05,2.66447E-06,1.18844E-05,3.2717E-05,7.32132E-08,3.29077E-06,1.44129E-05,0,0,0,0,1.23455E-06,2.11729E-05,0.000361393,0.00034471,0,1.23447E-06,5.49693E-05,0.000709993,2.9572E-07,1.27858E-05,0.001479509,0,1.19277E-05,0.000386373,1.29722E-05,0,2.66488E-07,0,0.000150076,1.69919E-05,0.000768955,0.000228879,0.000802675,8.15908E-05,0.000152582,0.000123758,3.87235E-05,5.81648E-05,0.00047181,0,0.000213336,4.6565E-05,1.18197E-05,0.000169262,0.00019432,7.31909E-05,8.15107E-05,0.00038201,7.17729E-08,0.000456797,0.000306905,0.000166707,2.66779E-05,0.000159952,3.41482E-06,0.000190908,7.95106E-06,3.01366E-05,1.03045E-06,0.000115463,1.64562E-05,7.86636E-05,9.60776E-07,6.38893E-07,0,0,0,0.000105662,1.75705E-05
AOB,0.002847091,0.042887287,0.007020434,0,1.90672E-05,0,0,0,0,0,0,0,0,0,0.227428547,0,0,0,0,0,0,0,0.001172689,0,0,0,0,0,0,0,0,0,0,0.094936427,0.454773774,0,0,4.87646E-05,0,9.74758E-05,0.00599946,0,0,0.003441887,0,0.020951637,0.065977185,0.005111984,0,0.005277071,0,0,0,0,0,0,0,0,0,0,0,0,0.015758351,0,0,0,0,0,0,0,0,0,0.000728034,0,0,0,0.014449089,0,0.001270549,0.026265761,0,0,0,0,0,0,0.266730147,0,0,0,0,0,0,0.469022653,0,0,0,0,0,0,0.002827412,0,0.043803366,0,0,0.111748481,0,0.001128918,0,0,0.006820458,0.002048812,0,0.113656694,0.001282913,0.013007221,0,0,0,0,0,0.0113717,0,0,0,0,0,0,0.950767176,0.008231404,0,0,0.001200931,0,0,0,0.000316837,0.000307197,0,0,0,0,0.000180189,0,0,0,0,0,0,0,0.003336696,0,0,0,0,0,0,0.000334364,0,0,0.000359022,0.000533511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90592E-05,0,0,0,0,0.004173694,0.009458718,0,0,0.084495364,0.001891928,0,0,2.65966E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AON,0,0,0.001141843,0.110178278,0,0,0.006277276,0,0.002670812,0,0,0,0.000162082,0.186845648,1.174375477,0,0.000260087,0,0,0.00023715,0,0,0,0.026053722,0.021301096,0,0.000753957,0,0.000107897,0,0.020809695,0,0,0,0,0,0,0.000210011,0,3.39483E-05,0.000992735,0.00265367,0,0.024627442,0,0.006033302,0,0,0.228182359,0,4.8596E-05,0,0.00819897,0,0,0,0,0,0,0,0.000199164,0,0.054924046,0,0,0,0,0,0,0,0,2.86638E-05,0,0,0,0,0,0,0,0,0.000988845,0.000508872,0,0,0,0,0,0.007399139,0,0,0,0,0,4.972593108,0,0,0.001477642,0.014441743,0,0,0,0,0,0,6.42818E-06,0,0.000115933,0,0,0,0.059996073,0.030761848,0.064185986,0.011380266,0,0,0,0.000100761,0,1.68496E-05,0,0,0,0.000382056,0,0,0,0,0.301115154,0.019383657,0,0,0,0,0,0,0,0.000407144,0,0,0,0,0,0,0.001641155,0.002131614,0.000317582,0.001028164,7.41505E-06,0.000206915,0.007762836,0,0,0,0,0,0,0,0,9.03898E-05,0,0,0,0.000657413,0,0,0,0,0,0,0,0,5.242E-05,4.15856E-05,0,0,0,0,0,0,0,0,0,0,0.000828364,0,0,0,0,0.000355879,0,0,0.000244435,0.220601594,0,0,0,0.000136201,0,0,0,0,0,0,0,0,0,0.000582508,0,0,0,0.001655135,0
APN,0,0,0,0,0,0,0,0,0,0,0.002789936,0,0.000307592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034635368,0,0,0,0,0,0,0.018556327,0,0,0.000215592,0,0,0,0,0,0,0,0,0,0,0.000255597,0,0,0,0,0.00573829,0,0,0,0.000384528,0,0.000304071,0,0,0,0,0.000828618,0,0.008647147,0,0,0,0.009354732,0,0.019076765,0,0,0,0,0,0,0.001076293,0.001915615,0,0,0,0,0,0,0.008842976,0.013516604,0,0,0,0,0,0,0,0,0.876587868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000532238,0.040962297,0,0,0,0,0,0,0.256928195,0,0,0,0,0,0,0,0.452472545,0,0,0,0,0,0,0,0,0,0,0,0,0.000879839,0.158619105,0.033729208,0,0,0,0.009917968,0,0,0,0,0,0,0,0,0,3.43767E-05,0,0,0.045773729,0,0,0,0,0,0,0,0,0,0,0,0.014727775,0,0,0.001128579,0,0,0,0,0.230116826,0,0,0,0,0.09615966,0.000282807,0,0,0,0,0,0,0,0,0.000665598,0,0.143678616,0.193442168,0,0.043217064,0
ARH,0,0,0,0,0,1.833246495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161062579,2.989105943,0,0,0,0,0.00070836,0,0,0,0,0.061074408,0.387188153,0,0,0,0.002014802,1.64488E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003880243,0,0,0,0,0,0,0,0,0,0.008661572,0,0,0,0,0,0,0,0,0,0,1.692554423,0,0,0,0,0,0.134889728,0,0,0,0,0,1.311708251,0,0,0,0,0,0,0,0,0,0.512035648,1.561243143,0.009570143,0,0,0,0,0,0,0.009196661,0,0,0.017789961,0,0,0,0,0,0.144069713,0,0,0,0,0.01882643,0,0,0.069793061,0.006278431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003455643,0,0,0,0,0.050107952,0,0.827485586,0.14107701,0.014456935,0.115138404,0,0,0.013473489,0,0,0.010279698,0.002718732,0,0,0,0,0.330228228,0,0,0,0,0,0,0.011659586,0,0,0,0,0,4.78598E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001437086,0,0,0.005520246,0,0.051567212,0
